6.6;Nachtgestalten (Nightshapes);1999;104 min.; Alemania;Andreas Dresen;Andreas Dresen;Cathrin Pfeifer, Rainer Rohloff;Andreas Höfer;Meriam Abbas, Dominique Horwitz, Oliver Bäbler, Susanne Bormann, Michael Gwisdek, Ricardo Valentim;European Script Fund / Film Board Berlin Brandenburg / Studio Babelsberg Independents;Drama;Retrata la vida de un grupo de desheredados de Berlín. 
6,2;Capicúa (S);2010;3 min.; España;Roger Villarroya;Roger Villarroya;Documentary;Notodofilm;Documental. Drama | Vejez. Cortometraje Web oficial http://www.notodofilmfest.com/ediciones/09/?lg=es&corto=20803;Cuando dependemos de los demás. 
7,3;Synth Britannia (TV);2009;90 min.; Reino Unido;Benjamin Whalley;Documentary;BBC Productions;Documental | Documental sobre música. Telefilm;Documental que sigue a una generación de músicos post-punk que en los años 70 y 80 formaron populares bandas electrónicas que han tenido un profundo impacto en la música actual. 
5,2;The Painted Desert;1931;75 min.; Estados Unidos;Howard Higgin;Howard Higgin, Tom Buckingham;Francis Gromon;Edward Snyder (B&W);William Boyd, Clark Gable, Helen Twelvetrees, William Farnum, J. Farrell MacDonald, Charles Sellon, Hugh Adams, Wade Boteler, Will Walling;Western;Jeff y Cash encuentran un bebé, y es Cash quien decide hacerse cargo de él. Con el paso del tiempo los dos amigos llegan a ser propietarios de dos ranchos vecinos, pero entre ellos surgen problemas: la hermosa hija Jeff es uno de ellos 
6,3;Ladrones;1930;35 min.; Estados Unidos;James Parrott;Leo McCarey, H.M. Walker;George Stevens (B&W);Stan Laurel, Oliver Hardy, Edgar Kennedy, James Finlayson, Enrique Acosta, Robert Emmett O'Connor;Hal Roach Studios;Comedia | Mediometraje;Versión bilingüe y extendida del cortometraje \"Night Owls\" (1930), rodada simultáneamente con su predecesora para el mercado español. 
6,3;Bal-Can-Canaka AKA Balcancan;2005;89 min.; Macedonia;Darko Mitrevski;Darko Mitrevski;Kiril Dzajkovski;Suki Medencevic;Vlado Jovanovski, Adolfo Margiotta, Zvezda Angelovska, Branko Djuric, Antonella Troise, Jelisaveta Sablic, Toni Mihajlovski, Emil Ruben, Miodrag Krivokapic;Coproducción Macedonia-Italia-Reino Unido; Partysans Film / Veradia Film / Minerva Pictures / Verdecchi Film;Comedia. Acción. Thriller | Road Movie;Ha estallado la guerra en los Balcanes y Trendafil, un desertor de la milicia macedonia, un hombre invadido por el miedo cuya vida está caracterizada por la guerra y las cifras, huye con su mujer y su suegra a Bulgaria. Durante su éxodo, su suegra muere y se encuentra envuelto en la burocracia absurda de los Balcanes. Envuelve entonces el cadáver de su suegra en una alfombra con el fin de traerlo a Macedonia. Pero en el camino de regreso, le roban todas sus pertenencias, incluida la alfombra con el cuerpo dentro. Para recuperarla, recurrirá al hijo del hermano de sangre de su padre, un italiano conocedor de los bajos fondos, y juntos recorrerán los Balcanes en busca de la famosa alfombra. 
5,0;Sapichesaka AKA Polo de limón IV Caramelo de limón Polo de limón 4;1983;107 min.; Israel;Boaz Davidson;Boaz Davidson, Eli Tavor;Paul Fishman;Adam Greenberg;Yftach Katzur, Zachi Noy, Jonathan Sagall, Dvora Kedar, Menashe Warshavsky, Sonja Martin, Joseph Shiloach, Moshe Ish-Kassit, Devora Bakon, Bea Fiedler, Shmuel Eiser, Louis Rosenberg, Anatol Constantin, Olga Spondof, Pesach Gotmark;Coproducción Israel-Alemania del Oeste; Cannon, Golan-Globus Productions, KF Kinofilm;Comedia. Drama. Romance | Años 50. Adolescencia. Comedia juvenil. Ejército. Secuela;Benji, Huey y Bobby, han sido reclutados por el ejercito para tres años. La tentación surge inmediatamente cuando les dicen que la zona de las mujeres es zona prohibida. Se hacen pasar por oficiales y sacan de la cama a las chicas con una falsa alarma de una plaga de piojos. Pero las deliciosas vistas de las chicas yendo a las duchas para desparasitarse se ven bruscamente interrumpidas cuando son asaltados por una mujer que resulta ser sargento. 
7,2;It's Always Fair Weather;1955;102 min.; Estados Unidos;Stanley Donen, Gene Kelly;Adolph Green, Betty Comden;Andre Previn;Robert Bronner;Gene Kelly, Cyd Charisse, Dan Dailey, Dolores Gray, Michael Kidd, David Burns, Jay C. Flippen, Hal March, Steve Mitchell;Metro-Goldwyn-Mayer;Musical. Comedia | Amistad;Durante la Segunda Guerra Mundial (1939-1945), tres soldados hicieron una promesa: encontrarse en un lugar concreto diez años después de la guerra. Los tres cumplen la promesa, pero cuando se reúnen se dan cuenta de que ya no tienen nada en común. 
5,5;Gardiens de l'ordre;2010;105 min.; Francia;Nicolas Boukhrief;Nicolas Boukhrief, Dan Sasson;Nicolas Baby;Dominique Colin;Cécile De France, Fred Testot, Julien Boisselier, Nicolas Marié, Stéphan Wojtowicz, Nanou Garcia, Stéphane Jobert, Jean-Michel Noirey, Gilles Gaston-Dreyfus, Foued Nassah, Anthony Decadi;Les Films du Worso / Gaumont / Entre Chien et Loup;Thriller. Drama | Crimen;Durante una patrulla nocturna de rutina, los agentes de policía Julie (Cécile De France) y Simon (Fred Testot) accidentalmente hieren al hijo de un diputado que, estando en estado de shock, ha matado violentamente a uno de sus compañeros. Injustamente acusados de brutalidad policial, la pareja, para probar su inocencia, decide investigar sobre la droga responsable de la locura pasajera de su agresor. 
6,6;Kimi ga Nozomu Eien (Rumbling Hearts) (TV Series);2003;24 min.; Japón;Tetsuya Watanabe;Katsuhiko Takayama, Kenichi Kanemaki;Abito Torai, Kenichi Sudo, Ryouju Minami;Animation;Animation;Studio Fantasia;Serie de TV. Animación. Drama. Romance | Videojuego;Serie de TV (2003-2004). 12 episodios. Haruka Suzumiya una chica inteligente y algo tímida que junto a sus mejores amigos Mitsuki Hayase y Takayuki Narumi llevan una vida común y corriente como la de cualquier estudiante de preparatoria pero un suceso trágico marcará sus vidas desarrollándose una serie de situaciones complicadas y delicadas en donde nuestros sentimientos pueden confundirnos entre lo que es correcto o más importante. 
6,8;Blake Edward's Pink Panther: Come on In! The Water's Pink (S);1968;6 min.; Estados Unidos;Hawley Pratt;Jim Ryan;Walter Greene;Animation;Animation;DePatie-Freleng Enterprises (DFE);Animación. Comedia | Pantera rosa. Cortometraje (animación);La Pantera Rosa acude a una playa para disfrutar del sol, el mar y los deportes acuáticos como el surf y el esquí acuático. Pero en estos lugares no es difícil topar con el típico \"chulito de playa\"... 
7,1;Dave Chappelle: Killin' Them Softly (TV);2000;57 min.; Estados Unidos;Stan Lathan;Dave Chappelle;Dave Chappelle;Home Box Office (HBO);Comedia | Mediometraje. Stand-Up. Telefilm;Especial del humorista Dave Chappelle en su ciudad natal, Washington DC, donde habla sobre política, drogas, racismo, la policía o las relaciones entre hombres y mujeres. 
